cardnumber,name,cardtype,setfolder,imgname,set,entrancecost,handcost,symbol,combath,supporth,combati,supporti,attribute,effect,jutsucost,rarity,flavor
N548AE,N548AE,Ninja,promos,n548ae.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N567A,N567A,Ninja,promos,n567a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N616A,N616A,Ninja,promos,n616a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N685A,N685A,Ninja,promos,n685a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS004P,NUS004P,Ninja,promos,nus004p.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS005E,NUS005E,Ninja,promos,nus005e.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS006A,NUS006A,Ninja,promos,nus006a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS010A,NUS010A,Ninja,promos,nus010a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS012A,NUS012A,Ninja,promos,nus012a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS013A,NUS013A,Ninja,promos,nus013a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS014A,NUS014A,Ninja,promos,nus014a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS016A,NUS016A,Ninja,promos,nus016a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS020,NUS020,Ninja,promos,nus020.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS025A,NUS025A,Ninja,promos,nus025a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS027A,NUS027A,Ninja,promos,nus027a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS035AE,NUS035AE,Ninja,promos,nus035ae.webp,Promos,0,0,['Fire'],,,,,,,,Common,
NUS040,NUS040,Ninja,promos,nus040.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR001,PR001,Promo (Needs Type),promos,pr001.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR002,PR002,Promo (Needs Type),promos,pr002.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR003,PR003,Promo (Needs Type),promos,pr003.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR004,PR004,Promo (Needs Type),promos,pr004.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR005,PR005,Promo (Needs Type),promos,pr005.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR005RA,PR005RA,Promo (Needs Type),promos,pr005ra.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR006,PR006,Promo (Needs Type),promos,pr006.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR006RA,PR006RA,Promo (Needs Type),promos,pr006ra.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR007,PR007,Promo (Needs Type),promos,pr007.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR007RA,PR007RA,Promo (Needs Type),promos,pr007ra.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR008,PR008,Promo (Needs Type),promos,pr008.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR008RA,PR008RA,Promo (Needs Type),promos,pr008ra.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR009E,PR009E,Promo (Needs Type),promos,pr009e.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR010,PR010,Promo (Needs Type),promos,pr010.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR011,PR011,Promo (Needs Type),promos,pr011.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR012,PR012,Promo (Needs Type),promos,pr012.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR013,PR013,Promo (Needs Type),promos,pr013.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR014,PR014,Promo (Needs Type),promos,pr014.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR015,PR015,Promo (Needs Type),promos,pr015.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR016,PR016,Promo (Needs Type),promos,pr016.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR017,PR017,Promo (Needs Type),promos,pr017.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR018,PR018,Promo (Needs Type),promos,pr018.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR018A,PR018A,Promo (Needs Type),promos,pr018a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR018B,PR018B,Promo (Needs Type),promos,pr018b.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR019,PR019,Promo (Needs Type),promos,pr019.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR020,PR020,Promo (Needs Type),promos,pr020.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR021,PR021,Promo (Needs Type),promos,pr021.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR022,PR022,Promo (Needs Type),promos,pr022.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR023,PR023,Promo (Needs Type),promos,pr023.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR024,PR024,Promo (Needs Type),promos,pr024.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR024B,PR024B,Promo (Needs Type),promos,pr024b.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR025,PR025,Promo (Needs Type),promos,pr025.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR025B,PR025B,Promo (Needs Type),promos,pr025b.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR026,PR026,Promo (Needs Type),promos,pr026.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR026B,PR026B,Promo (Needs Type),promos,pr026b.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR027,PR027,Promo (Needs Type),promos,pr027.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR028,PR028,Promo (Needs Type),promos,pr028.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR029,PR029,Promo (Needs Type),promos,pr029.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR030,PR030,Promo (Needs Type),promos,pr030.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR031,PR031,Promo (Needs Type),promos,pr031.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR032,PR032,Promo (Needs Type),promos,pr032.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR033,PR033,Promo (Needs Type),promos,pr033.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR034,PR034,Promo (Needs Type),promos,pr034.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR035,PR035,Promo (Needs Type),promos,pr035.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR036,PR036,Promo (Needs Type),promos,pr036.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR037,PR037,Promo (Needs Type),promos,pr037.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR038,PR038,Promo (Needs Type),promos,pr038.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR039,PR039,Promo (Needs Type),promos,pr039.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR040,PR040,Promo (Needs Type),promos,pr040.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR041E,PR041E,Promo (Needs Type),promos,pr041e.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR042,PR042,Promo (Needs Type),promos,pr042.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR042E,PR042E,Promo (Needs Type),promos,pr042e.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR043,PR043,Promo (Needs Type),promos,pr043.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR044,PR044,Promo (Needs Type),promos,pr044.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR045,PR045,Promo (Needs Type),promos,pr045.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR046,PR046,Promo (Needs Type),promos,pr046.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR047,PR047,Promo (Needs Type),promos,pr047.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR048,PR048,Promo (Needs Type),promos,pr048.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR048E,PR048E,Promo (Needs Type),promos,pr048e.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR049,PR049,Promo (Needs Type),promos,pr049.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR050,PR050,Promo (Needs Type),promos,pr050.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR051,PR051,Promo (Needs Type),promos,pr051.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR052,PR052,Promo (Needs Type),promos,pr052.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR053,PR053,Promo (Needs Type),promos,pr053.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR054,PR054,Promo (Needs Type),promos,pr054.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR055,PR055,Promo (Needs Type),promos,pr055.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR056,PR056,Promo (Needs Type),promos,pr056.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR057,PR057,Promo (Needs Type),promos,pr057.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR058,PR058,Promo (Needs Type),promos,pr058.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR059,PR059,Promo (Needs Type),promos,pr059.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR060,PR060,Promo (Needs Type),promos,pr060.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR061,PR061,Promo (Needs Type),promos,pr061.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR062,PR062,Promo (Needs Type),promos,pr062.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR063,PR063,Promo (Needs Type),promos,pr063.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR064E,PR064E,Promo (Needs Type),promos,pr064e.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR065,PR065,Promo (Needs Type),promos,pr065.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR066,PR066,Promo (Needs Type),promos,pr066.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR067,PR067,Promo (Needs Type),promos,pr067.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR068,PR068,Promo (Needs Type),promos,pr068.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR069,PR069,Promo (Needs Type),promos,pr069.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR070E,PR070E,Promo (Needs Type),promos,pr070e.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR071,PR071,Promo (Needs Type),promos,pr071.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR072E,PR072E,Promo (Needs Type),promos,pr072e.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR073,PR073,Promo (Needs Type),promos,pr073.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR074,PR074,Promo (Needs Type),promos,pr074.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR075,PR075,Promo (Needs Type),promos,pr075.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR076,PR076,Promo (Needs Type),promos,pr076.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR077,PR077,Promo (Needs Type),promos,pr077.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR078,PR078,Promo (Needs Type),promos,pr078.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR079E,PR079E,Promo (Needs Type),promos,pr079e.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR080,PR080,Promo (Needs Type),promos,pr080.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR081,PR081,Promo (Needs Type),promos,pr081.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR082,PR082,Promo (Needs Type),promos,pr082.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR083,PR083,Promo (Needs Type),promos,pr083.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR084,PR084,Promo (Needs Type),promos,pr084.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR085,PR085,Promo (Needs Type),promos,pr085.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR086,PR086,Promo (Needs Type),promos,pr086.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR087,PR087,Promo (Needs Type),promos,pr087.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR088,PR088,Promo (Needs Type),promos,pr088.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR089,PR089,Promo (Needs Type),promos,pr089.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR090,PR090,Promo (Needs Type),promos,pr090.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR091,PR091,Promo (Needs Type),promos,pr091.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR092,PR092,Promo (Needs Type),promos,pr092.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR093,PR093,Promo (Needs Type),promos,pr093.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR095,PR095,Promo (Needs Type),promos,pr095.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR096,PR096,Promo (Needs Type),promos,pr096.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PR100,PR100,Promo (Needs Type),promos,pr100.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS001,PRUS001,Promo (Needs Type),promos,prus001.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS002,PRUS002,Promo (Needs Type),promos,prus002.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS003,PRUS003,Promo (Needs Type),promos,prus003.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS004,PRUS004,Promo (Needs Type),promos,prus004.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS005,PRUS005,Promo (Needs Type),promos,prus005.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS006,PRUS006,Promo (Needs Type),promos,prus006.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS007,PRUS007,Promo (Needs Type),promos,prus007.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS008,PRUS008,Promo (Needs Type),promos,prus008.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS009,PRUS009,Promo (Needs Type),promos,prus009.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS010E,PRUS010E,Promo (Needs Type),promos,prus010e.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS011,PRUS011,Promo (Needs Type),promos,prus011.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS012,PRUS012,Promo (Needs Type),promos,prus012.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS013,PRUS013,Promo (Needs Type),promos,prus013.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS014E,PRUS014E,Promo (Needs Type),promos,prus014e.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PRUS015,PRUS015,Promo (Needs Type),promos,prus015.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PS001,PS001,Ninja,promos,ps001.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PS002,PS002,Ninja,promos,ps002.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PS003,PS003,Ninja,promos,ps003.webp,Promos,0,0,['Fire'],,,,,,,,Common,
PS004,PS004,Ninja,promos,ps004.webp,Promos,0,0,['Fire'],,,,,,,,Common,
C034,C034,Client,set_10_lineage_of_the_legends,c034.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
C035,C035,Client,set_10_lineage_of_the_legends,c035.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
C036,C036,Client,set_10_lineage_of_the_legends,c036.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
C038,C038,Client,set_10_lineage_of_the_legends,c038.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
C039,C039,Client,set_10_lineage_of_the_legends,c039.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
C040,C040,Client,set_10_lineage_of_the_legends,c040.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
C041,C041,Client,set_10_lineage_of_the_legends,c041.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
C042,C042,Client,set_10_lineage_of_the_legends,c042.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J257,J257,Jutsu,set_10_lineage_of_the_legends,j257.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J258,J258,Jutsu,set_10_lineage_of_the_legends,j258.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J261,J261,Jutsu,set_10_lineage_of_the_legends,j261.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J262,J262,Jutsu,set_10_lineage_of_the_legends,j262.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J274,J274,Jutsu,set_10_lineage_of_the_legends,j274.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J275,J275,Jutsu,set_10_lineage_of_the_legends,j275.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J305,J305,Jutsu,set_10_lineage_of_the_legends,j305.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J306,J306,Jutsu,set_10_lineage_of_the_legends,j306.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J307,J307,Jutsu,set_10_lineage_of_the_legends,j307.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J308,J308,Jutsu,set_10_lineage_of_the_legends,j308.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J309,J309,Jutsu,set_10_lineage_of_the_legends,j309.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J310,J310,Jutsu,set_10_lineage_of_the_legends,j310.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J311,J311,Jutsu,set_10_lineage_of_the_legends,j311.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J312,J312,Jutsu,set_10_lineage_of_the_legends,j312.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J313,J313,Jutsu,set_10_lineage_of_the_legends,j313.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J314,J314,Jutsu,set_10_lineage_of_the_legends,j314.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J315,J315,Jutsu,set_10_lineage_of_the_legends,j315.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J316,J316,Jutsu,set_10_lineage_of_the_legends,j316.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J317,J317,Jutsu,set_10_lineage_of_the_legends,j317.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J318,J318,Jutsu,set_10_lineage_of_the_legends,j318.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J319,J319,Jutsu,set_10_lineage_of_the_legends,j319.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J320,J320,Jutsu,set_10_lineage_of_the_legends,j320.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J321,J321,Jutsu,set_10_lineage_of_the_legends,j321.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J322,J322,Jutsu,set_10_lineage_of_the_legends,j322.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J323,J323,Jutsu,set_10_lineage_of_the_legends,j323.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J324,J324,Jutsu,set_10_lineage_of_the_legends,j324.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J325,J325,Jutsu,set_10_lineage_of_the_legends,j325.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J326,J326,Jutsu,set_10_lineage_of_the_legends,j326.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J327,J327,Jutsu,set_10_lineage_of_the_legends,j327.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J328,J328,Jutsu,set_10_lineage_of_the_legends,j328.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J329,J329,Jutsu,set_10_lineage_of_the_legends,j329.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J330,J330,Jutsu,set_10_lineage_of_the_legends,j330.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J331,J331,Jutsu,set_10_lineage_of_the_legends,j331.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J332,J332,Jutsu,set_10_lineage_of_the_legends,j332.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J333,J333,Jutsu,set_10_lineage_of_the_legends,j333.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J334,J334,Jutsu,set_10_lineage_of_the_legends,j334.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J335,J335,Jutsu,set_10_lineage_of_the_legends,j335.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J336,J336,Jutsu,set_10_lineage_of_the_legends,j336.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J337,J337,Jutsu,set_10_lineage_of_the_legends,j337.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J338,J338,Jutsu,set_10_lineage_of_the_legends,j338.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J339,J339,Jutsu,set_10_lineage_of_the_legends,j339.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J340,J340,Jutsu,set_10_lineage_of_the_legends,j340.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
J341,J341,Jutsu,set_10_lineage_of_the_legends,j341.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
JUS077,JUS077,Jutsu,set_10_lineage_of_the_legends,jus077.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
JUS078,JUS078,Jutsu,set_10_lineage_of_the_legends,jus078.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
JUS079,JUS079,Jutsu,set_10_lineage_of_the_legends,jus079.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
JUS080,JUS080,Jutsu,set_10_lineage_of_the_legends,jus080.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
JUS081,JUS081,Jutsu,set_10_lineage_of_the_legends,jus081.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
JUS082,JUS082,Jutsu,set_10_lineage_of_the_legends,jus082.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
JUS083,JUS083,Jutsu,set_10_lineage_of_the_legends,jus083.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
JUS084,JUS084,Jutsu,set_10_lineage_of_the_legends,jus084.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
JUS085,JUS085,Jutsu,set_10_lineage_of_the_legends,jus085.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
JUS086,JUS086,Jutsu,set_10_lineage_of_the_legends,jus086.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
JUS087,JUS087,Jutsu,set_10_lineage_of_the_legends,jus087.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
JUS088,JUS088,Jutsu,set_10_lineage_of_the_legends,jus088.webp,Set 10 Lineage Of The Legends,0,0,['Fire'],,,,,,,,Common,
